@relation train_right_selected.arff

@attribute Upper_Stretch numeric
@attribute Rate_of_Change_Max_ numeric
@attribute Rate_of_Change_Min_ numeric
@attribute Respiration_Duration_dist numeric
@attribute Upper_Stretch_dist numeric
@attribute Rate_of_Change_Min__dist numeric
@attribute Lower_Stretch_ratio numeric
@attribute Magnitude_Mean_ numeric
@attribute Wrist_Duration numeric
@attribute Pitch_Median_ numeric
@attribute Roll_Mean_ numeric
@attribute Roll_Median_ numeric
@attribute RStime-WEtime numeric

@attribute class {puff,nonpuff}

@data
1055.58295736,54.76846964,-42.02600127,281.25000000,655.48731520,-12.72019287,1.86103953,109.13186505,500.00000000,59.39076329,113.01471010,113.45590179,1220.25000000,nonpuff
2547.03507545,115.07917444,-95.96959233,3890.62500000,2195.75815082,-64.48948968,3.06651899,303.68712258,1375.00000000,56.11206103,87.23760392,96.94238824,2316.75000000,nonpuff
270.42129320,9.82934541,-31.64027413,1570.31250000,26.46333137,-15.99898608,2.32578593,152.16792939,562.50000000,32.41614062,38.57172909,38.06465501,2392.87500000,nonpuff
722.20871705,58.42623277,-77.09278280,0.00000000,316.97496341,-54.02203638,2.39366775,183.11305363,312.50000000,59.05850048,41.16398928,40.05756574,-116.12500000,nonpuff
1106.96139449,77.59241675,-30.95983963,5531.25000000,823.13162903,-2.42433823,1.41755935,59.36915454,3312.50000000,51.30062167,50.38861220,50.25297581,3215.62500000,nonpuff
7.32586349,7.92298593,-26.64679348,-726.56250000,-373.13328029,0.20983929,1.11204283,212.85778768,750.00000000,35.16665674,108.73853175,109.07350666,401.62500000,nonpuff
561.77707817,30.21815518,-18.65384545,3398.43750000,188.58152622,8.20278733,0.49410775,129.97318402,4125.00000000,39.30209633,63.36083015,65.27580461,761.00000000,nonpuff
695.86660620,28.27398007,-36.49657449,-164.06250000,375.60296063,-14.27691654,1.28466248,90.79208571,3562.50000000,30.98984869,135.64662538,136.19642485,1573.50000000,nonpuff
708.34753108,58.88545614,-19.68259190,914.06250000,409.65924776,0.64314759,1.42087560,226.09916009,2000.00000000,38.85514967,28.81524877,28.16725696,-1160.87500000,nonpuff
387.80231187,26.82551355,-17.54376601,632.81250000,50.49214465,4.16446518,0.58226255,147.84847094,3562.50000000,35.92483324,76.53019358,74.91613701,2745.37500000,nonpuff
354.34371982,39.68804980,-18.78277310,679.68750000,2.32139826,4.26142318,1.51552310,134.10875411,3062.50000000,34.23807891,64.65031413,65.14622406,3651.62500000,nonpuff
320.67693832,33.23270015,-18.70688247,-773.43750000,-4.96926768,3.54518960,1.38470363,168.48778944,1187.50000000,36.69034998,70.95770687,70.99359145,3917.25000000,nonpuff
320.67693832,33.23270015,-18.70688247,-773.43750000,-4.96926768,3.54518960,1.38470363,76.68070933,2562.50000000,41.50867388,47.66222833,48.40765718,542.25000000,nonpuff
1065.18484741,70.21456950,-57.33301394,2671.87500000,685.49120424,-24.70426921,1.01888755,133.03598813,625.00000000,49.28005656,74.90694840,75.27912618,1437.50000000,nonpuff
796.09465230,72.50770515,-33.92299119,2273.43750000,397.98111527,-11.14812373,2.45264376,276.04399665,2312.50000000,31.63116673,18.10959293,16.69704942,-3031.25000000,nonpuff
431.67661815,22.43236457,-17.21057682,890.62500000,107.15653196,2.47142419,0.33042172,350.47212058,875.00000000,39.21694710,58.95513836,58.45122356,3815.00000000,nonpuff
431.67661815,22.43236457,-17.21057682,890.62500000,107.15653196,2.47142419,0.33042172,322.44927630,1062.50000000,30.83681078,116.36069585,121.56371650,2127.50000000,nonpuff
339.98643825,32.20203417,-18.20273280,281.25000000,37.33858616,1.47926821,0.89115545,156.28690193,1000.00000000,56.11544754,94.26344813,95.64806605,127.50000000,nonpuff
484.37338103,17.16613570,-13.00043126,632.81250000,260.60250443,5.05945093,-0.25496540,36.81179951,1562.50000000,65.84181154,79.94395707,80.26837180,-575.00000000,nonpuff
654.23018557,17.51972645,-79.41549324,3914.06250000,415.40602139,-63.52661563,7.35157175,11.17950835,4250.00000000,68.86434836,41.88203243,42.46706295,-5715.62500000,nonpuff
694.78414704,41.34480631,-36.95332048,-70.31250000,296.85886649,-7.27223299,0.52871050,93.59084654,3187.50000000,45.12488015,67.09470127,65.52720401,2271.75000000,puff
979.02459498,50.44037452,-45.44095957,2671.87500000,663.40366262,-19.71864798,1.05161236,19.66392305,3562.50000000,62.23503168,67.14871366,66.77387290,-2587.62500000,puff
1028.62297552,50.66608117,-54.38323722,3679.68750000,687.08675829,-24.31085875,0.98515077,14.47111950,4625.00000000,62.39371311,77.70101949,77.98203190,-3493.87500000,puff
905.08729762,46.76697714,-55.51063719,2976.56250000,563.55108039,-26.40027417,0.96717628,14.65367856,4625.00000000,65.17241101,68.48612679,68.78231206,-3087.62500000,puff
1253.63340510,50.79353094,-50.50011884,6164.06250000,929.89580052,-22.28332430,1.28680471,14.36668391,3437.50000000,64.64855527,64.63410899,65.21181159,-4009.50000000,puff
1108.68886425,52.55777899,-47.28646838,4382.81250000,782.50505001,-19.06967385,1.43404739,25.31242576,3250.00000000,64.63406051,66.65135690,67.47979734,-2056.37500000,puff
1245.05342312,61.36234922,-59.45628432,2765.62500000,942.62108970,-33.64874795,1.36702901,18.31739024,3437.50000000,67.21837527,54.08244601,53.98269568,-2415.75000000,puff
1023.95209683,50.66986717,-57.89863705,3304.68750000,839.33858040,-36.75672487,1.49853727,19.17875744,3437.50000000,66.00746640,55.88150943,56.04728357,-2400.12500000,puff
1223.07278912,68.23905886,-56.19258030,2320.31250000,1022.02303836,-37.29848212,1.34864792,25.95580168,2750.00000000,64.50870813,68.24904540,68.21906872,-1212.62500000,puff
1147.86989923,58.52562259,-51.63659632,4710.93750000,939.29150749,-32.74606795,1.71158207,34.34298325,3562.50000000,63.28075067,69.85424909,70.11685039,-2837.62500000,puff
